event_id,display_date,end_range,sort_year,age_ma,year_ce,nonlinear_time_bin,suggested_nonlinear_coordinate,headline,significance,event_category,knowledge_frame,regional_track,location,reef_system,why_it_matters,source_1_title,source_1_url,source_1_type,source_2_title,source_2_url,source_2_type,confidence,animation_priority,editorial_notes,category,category_group,evidence_type,is_projection,proj_year,proj_pub_year,proj_scenario,proj_quote,proj_quote_note,proj_undated,abstract_agreement,abstract_src,basic_headline,basic_significance,basic_why,basic_links
CR-054,1868–1870,approximate,1868,,1868,1800–1949,2.201397,Deep-sea dredging reveals abundant cold-water corals,"Lightning and Porcupine collections, plus Gulf of Mexico dredging, establish that corals live far below the photic zone.",Discovery / exploration,European scientific exploration,Deep / cold-water corals,North Atlantic and Gulf of Mexico,Deep-sea coral habitats,Separates deep-water corals from tropical reef-building corals and overturns depth assumptions.,"Duncan (1870), Deep Sea Corals",https://doi.org/10.1038/001267b0,Primary scientific correspondence,HMS Challenger expedition preliminary account (1876),https://doi.org/10.1038/014093a0,Primary expedition report,High,Core,,"People, records & policy",People & policy,Historical & Indigenous records,,,,,,,,,,Deep-sea dredging finds plenty of cold-water corals,"Samples from the Lightning and the Porcupine, plus dredging in the Gulf of Mexico, showed that corals live far below the sunlit zone.",It set deep-water corals apart from tropical reef builders and overturned ideas about how deep corals could live.,"[{""t"": ""Do all corals live in warm water?"", ""u"": ""https://oceanexplorer.noaa.gov/ocean-fact/coral-water/"", ""p"": ""NOAA Ocean Exploration"", ""s"": ""Cold-water and deep-sea corals""}]"
CR-055,1872–1876,expedition,1872,,1872,1800–1949,2.190332,HMS Challenger launches systematic global oceanography,Deep-sea sampling and coral collections establish a global physical and biological baseline.,Discovery / exploration,European scientific exploration,Global / multiple regions,World ocean,Shallow and deep coral habitats,Creates the institutional and methodological template for ocean science.,HMS Challenger expedition preliminary account (1876),https://doi.org/10.1038/014093a0,Primary expedition report,"Duncan (1870), Deep Sea Corals",https://doi.org/10.1038/001267b0,Primary scientific correspondence,High,Core,,"People, records & policy",People & policy,Historical & Indigenous records,,,,,,,,,,HMS Challenger begins organised worldwide ocean science,The ship sampled the deep sea and collected corals. This set a first global record of ocean conditions and ocean life to compare against.,It created the pattern for how ocean science is organised and carried out.,"[{""t"": ""HMS Challenger: How an 1870s expedition still influences scientific discoveries today | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/hms-challenger-how-1870s-expedition-still-influences-scientific-discoveries-today.html"", ""p"": ""Natural History Museum, London"", ""s"": ""The voyages that started ocean science""}, {""t"": ""Challenger Expedition | Arctic exploration, Marine biology, Oceanography | Britannica"", ""u"": ""https://www.britannica.com/event/Challenger-Expedition"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""The voyages that started ocean science""}]"
CR-056,1880,,1880,,1880,1800–1949,2.167317,Murray proposes an alternative reef-formation theory,John Murray argues reefs can build on submarine banks through pelagic sediment accumulation and solution.,Scientific debate,Published science,Global backbone,Atolls and oceanic islands,Atolls,Starts a decades-long debate that drives drilling and geophysical tests.,"Murray (1880), On the structure and origin of coral reefs and islands",https://doi.org/10.1017/S0370164600044230,Primary scientific paper,"Darwin (1842), The Structure and Distribution of Coral Reefs",https://darwin-online.org.uk/content/frameset?itemID=F271&viewtype=text&pageseq=1,Primary scientific monograph,High,Core,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,Murray offers a rival idea about how reefs form,"John Murray argued that reefs can build on underwater banks. He argued reefs can build up on underwater banks, as material settles out of the open water and other parts dissolve away.",It began a debate lasting decades that pushed people to drill and to test the rock below.,"[{""t"": ""Charles Darwin's coral conundrum | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/charles-darwin-coral-conundrum.html"", ""p"": ""Natural History Museum, London"", ""s"": ""Atolls and Darwin's sinking-island idea""}, {""t"": ""Atoll | Definition & Facts | Britannica"", ""u"": ""https://www.britannica.com/science/atoll"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Atolls and Darwin's sinking-island idea""}]"
CR-057,1881–1883,early publications,1881,,1881,1800–1949,2.164353,Brandt identifies the coral–algal symbiosis,Karl Brandt recognizes intracellular “zooxanthellae” as symbiotic algae rather than coral organs or parasites.,Scientific finding,Published science,Global backbone,Laboratory and Mediterranean/tropical specimens,Photosymbiotic corals,Reveals the biological engine of shallow tropical reef productivity.,"Brandt (1881), Über das Zusammenleben von Thieren und Algen",https://www.biodiversitylibrary.org/item/134823,Primary scientific monograph,"Muscatine & Cernichiari (1969), Assimilation of photosynthetic products by reef corals",https://doi.org/10.2307/1540172,Primary experiment,High,Core,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,Brandt finds that tiny algae live inside corals,"Karl Brandt showed that the zooxanthellae inside coral cells are tiny algae living as partners. They are not parts of the coral's body, and they are not parasites.",It revealed the living engine behind the richness of shallow tropical reefs.,"[{""t"": ""Corals Tutorial: What is Zooxanthellae?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral02_zooxanthellae.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""The algae that live inside corals""}, {""t"": ""Corals"", ""u"": ""https://www.aims.gov.au/research-topics/marine-life/corals"", ""p"": ""Australian Institute of Marine Science"", ""s"": ""The algae that live inside corals""}]"
CR-058,1896–1898,expeditions,1896,,1896,1800–1949,2.117271,Funafuti drilling tests rival atoll theories,Royal Society expeditions drill the atoll in one of the first large-scale attempts to test reef formation directly.,Important experiment,Expeditionary science,Central / Eastern Pacific,"Funafuti, Tuvalu",Pacific atoll,"Pioneers scientific drilling, even though the borehole does not decisively settle the debate.","Royal Society (1898), The Atoll of Funafuti: borings into a coral reef",https://www.biodiversitylibrary.org/bibliography/58531,Primary expedition report,"Darwin (1842), The Structure and Distribution of Coral Reefs",https://darwin-online.org.uk/content/frameset?itemID=F271&viewtype=text&pageseq=1,Primary scientific monograph,High,Core,,"Experiment, method & monitoring",Knowledge,Historical & Indigenous records,,,,,,,,,,Drilling at Funafuti tests competing ideas about atolls,Royal Society expeditions drilled into the atoll. It was one of the first large attempts to test directly how reefs form.,"It pioneered scientific drilling, even though the hole did not settle the debate for certain.","[{""t"": ""Charles Darwin's coral conundrum | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/charles-darwin-coral-conundrum.html"", ""p"": ""Natural History Museum, London"", ""s"": ""Atolls and Darwin's sinking-island idea""}, {""t"": ""Atoll | Definition & Facts | Britannica"", ""u"": ""https://www.britannica.com/science/atoll"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Atolls and Darwin's sinking-island idea""}]"
CR-059,1928–1929,expedition,1928,,1928,1800–1949,1.995635,Great Barrier Reef Expedition creates an integrated reef-research programme,"The Low Isles expedition combines physiology, ecology, meteorology, geology and long-term field residence.",Scientific programme,Published science,Great Barrier Reef / Coral Sea,"Low Isles, Queensland",Great Barrier Reef,A model for modern interdisciplinary reef field stations.,"Yonge (1930), A Year on the Great Barrier Reef",https://archive.org/details/yearongreatbarri00yong,Primary expedition account,"Brandt (1881), Über das Zusammenleben von Thieren und Algen",https://www.biodiversitylibrary.org/item/134823,Primary scientific monograph,High,Core,,"Experiment, method & monitoring",Knowledge,Published analysis & synthesis,,,,,,,,,,A reef expedition brings many kinds of science together,"At Low Isles, scientists studied how corals work, how living things share the reef, the weather and the rocks. They also stayed on site for a long stretch of time.",It became a model for modern reef field stations that combine many subjects.,
CR-060,1930s,,1930,,1930,1800–1949,1.986772,Coral nutrition and symbiosis become experimental sciences,Work following the GBR Expedition clarifies that corals capture prey while relying heavily on algal partners.,Scientific finding,Experimental science,Great Barrier Reef / Coral Sea,Low Isles and laboratories,Photosymbiotic corals,Moves reef science from description toward physiology.,"Yonge (1930), A Year on the Great Barrier Reef",https://archive.org/details/yearongreatbarri00yong,Primary expedition account,"Muscatine & Cernichiari (1969), Assimilation of photosynthetic products by reef corals",https://doi.org/10.2307/1540172,Primary experiment,Medium,Supporting,,Science & discovery,Knowledge,Experimental & intervention science,,,,,,,,,,Studying how corals feed becomes an experimental science,Work following the Great Barrier Reef Expedition made clear that corals catch prey. It also showed they rely heavily on their algae partners.,It moved reef science on from describing reefs towards studying how they work.,"[{""t"": ""Corals Tutorial: What is Zooxanthellae?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral02_zooxanthellae.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""The algae that live inside corals""}, {""t"": ""Corals"", ""u"": ""https://www.aims.gov.au/research-topics/marine-life/corals"", ""p"": ""Australian Institute of Marine Science"", ""s"": ""The algae that live inside corals""}]"
CR-061,1947–1952,nuclear-test-era drilling,1947,,1947,1800–1949,1.90309,Pacific atoll drilling confirms thick reef caps over subsiding volcanoes,Bikini and Enewetak boreholes penetrate more than a kilometre of carbonate before reaching volcanic basement.,Important experiment,Scientific drilling,Central / Eastern Pacific,Marshall Islands,Pacific atolls,Provides the strongest direct test supporting Darwin’s subsidence model.,"Darwin (1842), The Structure and Distribution of Coral Reefs",https://darwin-online.org.uk/content/frameset?itemID=F271&viewtype=text&pageseq=1,Primary scientific monograph,"Royal Society (1898), The Atoll of Funafuti: borings into a coral reef",https://www.biodiversitylibrary.org/bibliography/58531,Primary expedition report,High,Core,Add USGS drilling reports in final source-enrichment pass.,"Experiment, method & monitoring",Knowledge,Geological & fossil evidence,,,,,,,,,,Drilling into Pacific atolls found thick reef rock over sinking volcanoes,Scientists drilled deep holes at Bikini and Enewetak. They passed through more than a kilometre of coral limestone before they reached the volcanic rock underneath.,"It was the strongest direct test yet, and it backed up Darwin's idea that the volcanoes slowly sank.","[{""t"": ""Charles Darwin's coral conundrum | Natural History Museum"", ""u"": ""https://www.nhm.ac.uk/discover/charles-darwin-coral-conundrum.html"", ""p"": ""Natural History Museum, London"", ""s"": ""Atolls and Darwin's sinking-island idea""}, {""t"": ""Atoll | Definition & Facts | Britannica"", ""u"": ""https://www.britannica.com/science/atoll"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Atolls and Darwin's sinking-island idea""}]"
CR-062,1955,,1955,,1955,1950–1979,1.857332,Whole-reef metabolism is quantified,"Odum and Odum measure production and respiration on Enewetak, framing reefs as high-throughput ecosystems.",Important experiment,Experimental science,Central / Eastern Pacific,Enewetak Atoll,Pacific atoll,Introduces ecosystem energetics to reef science.,"Odum & Odum (1955), Trophic structure and productivity of a windward coral reef",https://doi.org/10.2307/1943285,Primary ecosystem study,"Johannes et al. (1972), The metabolism of some coral reef communities",https://doi.org/10.2307/1296314,Primary ecosystem study,High,Core,,"Experiment, method & monitoring",Knowledge,Experimental & intervention science,,,,,,,,,,Scientists measured the energy used by a whole reef,"Odum and Odum measured how much food a reef made and how much it used up, at Enewetak. They described reefs as places where energy moves through very fast.",It brought the study of energy flow into reef science.,
CR-063,1959,,1959,,1959,1950–1979,1.832509,Photosynthesis is shown to accelerate coral calcification,Goreau experimentally links light and algal photosynthesis to skeletal deposition.,Important experiment,Experimental science,Caribbean / Florida,Jamaica,Caribbean reef corals,Mechanistically connects symbiosis to reef building.,"Goreau (1959), Physiology of skeleton formation in corals I",https://doi.org/10.2307/1539156,Primary experiment,"Muscatine & Cernichiari (1969), Assimilation of photosynthetic products by reef corals",https://doi.org/10.2307/1540172,Primary experiment,High,Core,,"Experiment, method & monitoring",Knowledge,Experimental & intervention science,,,,,,,,,,Light was shown to help corals build their skeletons faster,"Goreau ran experiments that linked light, and the food made by the tiny algae living in the coral, to how fast the coral built its skeleton.",It showed how the partnership between a coral and its algae helps build reefs.,"[{""t"": ""Corals Tutorial: What is Zooxanthellae?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral02_zooxanthellae.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""The algae that live inside corals""}, {""t"": ""Corals"", ""u"": ""https://www.aims.gov.au/research-topics/marine-life/corals"", ""p"": ""Australian Institute of Marine Science"", ""s"": ""The algae that live inside corals""}]"
CR-064,1961–1965,first outbreak wave,1961,,1961,1950–1979,1.819544,First modern crown-of-thorns outbreaks recorded on the GBR,"Dense Acanthaster populations are observed near Green Island and later spread, initiating a major ecological and management debate.",Disturbance event,Monitoring / field observation,Great Barrier Reef / Coral Sea,"Cairns sector, GBR",Great Barrier Reef,Introduces a recurrent biological driver of coral loss.,"Australian Institute of Marine Science, Understanding crown-of-thorns starfish outbreaks",https://www.aims.gov.au/research/spawning-research-2020/Understanding-crown-of-thorns-starfish-outbreaks,Official research synthesis,"De’ath et al. (2012), The 27-year decline of coral cover on the Great Barrier Reef",https://doi.org/10.1073/pnas.1208909109,Primary monitoring analysis,Medium,Core,Dates refer to the first documented modern outbreak wave; historical abundance remains debated.,Crisis & decline,Reef change,Field observation & monitoring,,,,,,,,,,First crown of thorns outbreaks of modern times recorded on the Great Barrier Reef,"Large numbers of crown of thorns starfish were seen near Green Island, and later spread further. This started a major argument among scientists and reef managers.",It brought in a living cause of coral loss that keeps coming back.,"[{""t"": ""Crown-of-Thorns Starfish"", ""u"": ""https://www.aims.gov.au/research-topics/marine-life/crown-thorns-starfish"", ""p"": ""Australian Institute of Marine Science (AIMS)"", ""s"": ""Crown-of-thorns starfish outbreaks""}, {""t"": ""Crown-of-thorns starfish | Coral Reefs, Invasive Species & Predators | Britannica"", ""u"": ""https://www.britannica.com/animal/crown-of-thorns-starfish"", ""p"": ""Encyclopaedia Britannica"", ""s"": ""Crown-of-thorns starfish outbreaks""}]"
CR-065,1966,,1966,,1966,1950–1979,1.78533,Aquanaut programmes extend direct reef observation,Saturation diving and underwater habitats allow longer-duration behavioural and ecological research on reefs.,Technology / methods,Scientific exploration,Caribbean / Florida,U.S. Virgin Islands and Florida,Caribbean reefs,Expands observation time below the surface.,HMS Challenger expedition preliminary account (1876),https://doi.org/10.1038/014093a0,Primary expedition report,Global Reef Record / XL Catlin Seaview Survey archive,https://globalreefrecord.org/,Primary imagery/data programme,Medium,Optional,Add original Tektite/Conshelf programme reports in final edition.,"Experiment, method & monitoring",Knowledge,Historical & Indigenous records,,,,,,,,,,Divers staying underwater could study reefs for longer,Saturation diving and underwater living stations let scientists stay below the surface for longer. They could study reef life and animal behaviour for longer stretches.,It gave scientists more time to watch reefs below the surface.,
CR-066,1969,,1969,,1969,1950–1979,1.763428,Carbon transfer from zooxanthellae to coral is demonstrated,Radiotracer experiments show that algal photosynthate supplies a major share of coral metabolism.,Important experiment,Experimental science,Global backbone,Laboratory reef corals,Photosymbiotic corals,Explains how reefs thrive in nutrient-poor tropical waters.,"Muscatine & Cernichiari (1969), Assimilation of photosynthetic products by reef corals",https://doi.org/10.2307/1540172,Primary experiment,"Goreau (1959), Physiology of skeleton formation in corals I",https://doi.org/10.2307/1539156,Primary experiment,High,Core,,"Experiment, method & monitoring",Knowledge,Experimental & intervention science,,,,,,,,,,Tiny algae inside corals were shown to feed them,Experiments using traceable carbon showed that food made by the algae inside a coral supplies a large share of what the coral needs to live.,It helps explain how reefs do so well in tropical water that holds few nutrients.,"[{""t"": ""Corals Tutorial: What is Zooxanthellae?"", ""u"": ""https://oceanservice.noaa.gov/education/tutorial_corals/coral02_zooxanthellae.html"", ""p"": ""NOAA National Ocean Service Education"", ""s"": ""The algae that live inside corals""}, {""t"": ""Corals"", ""u"": ""https://www.aims.gov.au/research-topics/marine-life/corals"", ""p"": ""Australian Institute of Marine Science"", ""s"": ""The algae that live inside corals""}]"
CR-067,1972,,1972,,1972,1950–1979,1.740363,Reef community metabolism and nutrient recycling are quantified,Community-scale studies show tight recycling and high productivity despite low surrounding nutrients.,Important experiment,Experimental science,Global backbone,Pacific reef communities,Shallow coral reefs,Establishes the “oasis in an ocean desert” mechanism.,"Johannes et al. (1972), The metabolism of some coral reef communities",https://doi.org/10.2307/1296314,Primary ecosystem study,"Odum & Odum (1955), Trophic structure and productivity of a windward coral reef",https://doi.org/10.2307/1943285,Primary ecosystem study,High,Core,,"Experiment, method & monitoring",Knowledge,Experimental & intervention science,,,,,,,,,,Reefs were shown to recycle nutrients very tightly,Studies of whole reef communities showed that reefs use the same nutrients over and over. They produce a lot of life even though the water around them has few nutrients.,It explained how a reef can be an oasis in an ocean desert.,
CR-068,1973,,1973,,1973,1950–1979,1.732394,Bacteria are recognized as important reef trophic components,Microbial production and consumption become explicit parts of coral-reef food-web models.,Scientific finding,Experimental science,Global backbone,Tropical reefs,Reef microbial loop,Begins the modern view of reefs as microbial as well as coral ecosystems.,"Sorokin (1973), Trophical role of bacteria in coral reef communities",https://doi.org/10.1038/242415a0,Primary microbial study,"Rohwer et al. (2002), Diversity and distribution of coral-associated bacteria",https://doi.org/10.3354/meps243001,Primary microbiome study,High,Core,,Science & discovery,Knowledge,Experimental & intervention science,,,,,,,,,,Bacteria were recognised as an important part of reef food webs,"Scientists began putting microbes into their models of reef food webs. What these tiny living things make, and what they eat, became part of the picture.",It started the modern view that reefs are made of microbes as well as corals.,
CR-069,1975,,1975,,1975,1950–1979,1.716003,Great Barrier Reef Marine Park Act creates a vast management framework,Australia establishes the statutory basis for managing most of the GBR as a multiple-use marine park.,Management milestone,Law and governance,Great Barrier Reef / Coral Sea,Australia,Great Barrier Reef,A landmark in large-scale reef governance.,Great Barrier Reef Marine Park Act 1975,https://www.legislation.gov.au/C2004A01427/latest/text,Primary legal instrument,"UNESCO World Heritage Committee, Great Barrier Reef inscription (1981)",https://whc.unesco.org/en/list/154/,Primary institutional record,High,Core,,"People, records & policy",People & policy,Law & governance,,,,,,,,,,A new Australian law created the Great Barrier Reef Marine Park,Australia passed a law to manage most of the Great Barrier Reef as a marine park. The park was set up to allow several different uses of the area.,It was a landmark in looking after a reef on a very large scale.,"[{""t"": ""Great Barrier Reef Marine Park - GBRMPA - Australia"", ""u"": ""https://www2.gbrmpa.gov.au/about-us/our-story"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""The Great Barrier Reef and how it is protected""}, {""t"": ""Great Barrier Reef - UNESCO World Heritage Centre"", ""u"": ""https://whc.unesco.org/en/list/154/"", ""p"": ""UNESCO World Heritage Centre"", ""s"": ""The Great Barrier Reef and how it is protected""}]"
CR-070,1978,,1978,,1978,1950–1979,1.690196,Intermediate-disturbance theory places reefs at the centre of ecological debate,Connell uses coral reefs and rainforests to argue that disturbance can maintain high diversity.,Scientific finding,Published science,Global backbone,Tropical reefs,Coral communities,Connects reef dynamics to general ecological theory.,"Connell (1978), Diversity in tropical rain forests and coral reefs",https://doi.org/10.1126/science.199.4335.1302,Conceptual paper with reef evidence,"Graham et al. (2015), Predicting climate-driven regime shifts versus rebound potential",https://doi.org/10.1038/nature14140,Primary comparative analysis,High,Core,,Science & discovery,Knowledge,Published analysis & synthesis,,,,,,,,,,A new idea said some disturbance can keep reefs rich in species,Connell used coral reefs and rainforests to argue that damage and disturbance can keep the number of species high.,It connected the way reefs work to wider ideas in ecology.,
CR-071,1979–1980,approximate,1979,,1979,1950–1979,1.681241,Modern mass-bleaching observations enter the scientific record,Widespread paling associated with anomalous heat is documented at multiple tropical locations.,Bleaching event,Field observation,Global / multiple regions,Caribbean and Pacific sites,Shallow coral reefs,Marks the beginning of the modern mass-bleaching era.,"Glynn (1993), Coral reef bleaching: ecological perspectives",https://doi.org/10.1007/BF00303779,Synthesis with primary observations,"Glynn (1984), Widespread coral mortality and the 1982–83 El Niño",https://doi.org/10.1017/S0376892900013825,Primary field study,Medium,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,Modern mass bleaching entered the scientific record,"Scientists recorded corals turning pale, which is called bleaching, over wide areas at several tropical places. The paling happened alongside unusually warm water.",It marks the start of the modern time of mass bleaching.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-072,1979,,1979.2,,1979,1950–1979,1.679428,Bonaire National Marine Park is established,Protection of the waters around Bonaire and Klein Bonaire becomes an early whole-island model for reef management and dive tourism.,Management milestone,Law and governance,Caribbean / Florida,Bonaire,Caribbean reefs,Early institutional reef protection outside Australia.,"Bonaire National Marine Park, establishment history (1979)",https://bonaire.com/en/nature/stinapa/,Official local institutional record,"Johannes (1978), Traditional marine conservation methods in Oceania",https://doi.org/10.1146/annurev.es.09.110178.002025,Ethnographic synthesis,High,Supporting,,"People, records & policy",People & policy,Law & governance,,,,,,,,,,Bonaire protected the water around its whole island,The sea around Bonaire and Klein Bonaire was made a protected park. It became an early model for looking after reefs and running diving tourism.,It was an early piece of official reef protection outside Australia.,"[{""t"": ""About Marine Protected Areas | National Marine Protected Areas Center"", ""u"": ""https://marineprotectedareas.noaa.gov/aboutmpas/"", ""p"": ""NOAA National Marine Protected Areas Center"", ""s"": ""Marine protected areas and no-take zones""}, {""t"": ""Marine Protected Areas"", ""u"": ""https://education.nationalgeographic.org/resource/marine-protected-areas/"", ""p"": ""National Geographic Education"", ""s"": ""Marine protected areas and no-take zones""}]"
CR-073,1981,,1981,,1981,1980–1997,1.662758,Great Barrier Reef is inscribed as World Heritage,UNESCO recognizes the reef’s global natural values and geological–ecological significance.,Management milestone,International governance,Great Barrier Reef / Coral Sea,Australia,Great Barrier Reef,Adds international oversight and a durable conservation benchmark.,"UNESCO World Heritage Committee, Great Barrier Reef inscription (1981)",https://whc.unesco.org/en/list/154/,Primary institutional record,Great Barrier Reef Marine Park Act 1975,https://www.legislation.gov.au/C2004A01427/latest/text,Primary legal instrument,High,Core,,"People, records & policy",People & policy,Law & governance,,,,,,,,,,The Great Barrier Reef was listed as World Heritage,UNESCO recognised that the reef matters to the whole world. It listed the reef as important for both its rocks and its living things.,It added international oversight and set a lasting standard for protecting the reef.,"[{""t"": ""Great Barrier Reef Marine Park - GBRMPA - Australia"", ""u"": ""https://www2.gbrmpa.gov.au/about-us/our-story"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""The Great Barrier Reef and how it is protected""}, {""t"": ""Great Barrier Reef - UNESCO World Heritage Centre"", ""u"": ""https://whc.unesco.org/en/list/154/"", ""p"": ""UNESCO World Heritage Centre"", ""s"": ""The Great Barrier Reef and how it is protected""}]"
CR-074,1981–1983,discovery and confirmation,1981.5,,1981,1980–1997,1.658011,Synchronous multi-species coral spawning is discovered,Field observations on the GBR reveal mass annual release of eggs and sperm by many coral species.,Scientific finding,Field observation,Great Barrier Reef / Coral Sea,Great Barrier Reef,Shallow reef corals,"Transforms understanding of coral reproduction, connectivity and restoration timing.","Harrison et al. (1984), Mass spawning in tropical reef corals",https://doi.org/10.1126/science.223.4641.1186,Primary observation,"Babcock et al. (1986), Synchronous spawnings of 105 scleractinian species",https://doi.org/10.1007/BF00428562,Primary reproductive study,High,Core,,Science & discovery,Knowledge,Field observation & monitoring,,,,,,,,,,Many coral species were found to spawn together each year,Scientists watching the Great Barrier Reef saw many coral species release their eggs and sperm at the same time. It happens as one big event once a year.,"It changed what we know about how corals breed, how reefs are linked, and when to do repair work.","[{""t"": ""What is coral spawning?"", ""u"": ""https://www2.gbrmpa.gov.au/learn/coral-spawning-101"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""Coral spawning and how corals reproduce""}]"
CR-075,1982–1983,,1982,,1982,1980–1997,1.653213,Strong El Niño causes catastrophic eastern-Pacific bleaching and mortality,"Thermal stress kills large fractions of corals across Panama, the Galápagos and neighbouring reefs.",Bleaching event,Field observation,Central / Eastern Pacific,Eastern tropical Pacific,Eastern Pacific reefs,First extensively studied regional mass-mortality event linked to El Niño warming.,"Glynn (1984), Widespread coral mortality and the 1982–83 El Niño",https://doi.org/10.1017/S0376892900013825,Primary field study,"Glynn (1993), Coral reef bleaching: ecological perspectives",https://doi.org/10.1007/BF00303779,Synthesis with primary observations,High,Core,,Bleaching & heat stress,Reef change,Field observation & monitoring,,,,,,,,,,A strong El Niño killed many corals in the eastern Pacific,"Heat stress killed a large share of the corals around Panama, the Galápagos and nearby reefs.",It was the first regional mass death of corals to be studied closely and linked to El Niño warming.,"[{""t"": ""What is coral bleaching?"", ""u"": ""https://oceanservice.noaa.gov/facts/coral_bleach.html"", ""p"": ""NOAA Ocean Service"", ""s"": ""What coral bleaching is and why it happens""}, {""t"": ""Coral bleaching 101"", ""u"": ""https://www2.gbrmpa.gov.au/learn/reef-health/coral-bleaching"", ""p"": ""Great Barrier Reef Marine Park Authority (Reef Authority)"", ""s"": ""What coral bleaching is and why it happens""}]"
CR-076,1982–1985,major initial wave,1982.5,,1982,1980–1997,1.64836,White-band disease drives Caribbean Acropora collapse,"Disease kills dominant branching corals, fundamentally changing reef architecture.",Disease / ecological cascade,Field observation,Caribbean / Florida,Caribbean basin,Caribbean Acropora reefs,One of the clearest modern examples of functional reef extinction.,"Gladfelter (1982), White-band disease in Acropora  [no citable record found]",,Primary disease study,"Carpenter et al. (2008), One-third of reef-building corals face elevated extinction risk",https://doi.org/10.1126/science.1159196,Global assessment,High,Core,,Crisis & decline,Reef change,Field observation & monitoring,,,,,,,,,,A disease destroyed branching corals across the Caribbean,White band disease killed the branching corals that used to dominate these reefs. The whole shape and structure of the reefs changed.,It is one of the clearest modern cases of a coral no longer doing its job on the reef.,"[{""t"": ""Coral Disease - History and General Information"", ""u"": ""https://cdhc.noaa.gov/coral-disease/"", ""p"": ""NOAA Coral Disease and Health Consortium"", ""s"": ""Diseases that kill corals""}, {""t"": ""Florida's Coral Reef Disease Outbreak | Florida Keys National Marine Sanctuary"", ""u"": ""https://floridakeys.noaa.gov/coral-disease/"", ""p"": ""NOAA Florida Keys National Marine Sanctuary"", ""s"": ""Diseases that kill corals""}]"
CR-077,1982,,1982.7,,1982,1980–1997,1.646404,Apo Island community establishes a no-take marine sanctuary,Local fishers and Silliman University establish and enforce a small reserve that becomes a globally influential model for reef fisheries recovery.,Management milestone,Community governance,Coral Triangle / Western Pacific,"Apo Island, Philippines",Coral Triangle reefs,"Combines local stewardship, long-term science and measurable fisheries benefits.","Russ & Alcala (1996), Do marine reserves export adult fish biomass? Evidence from Apo Island",https://doi.org/10.3354/meps132001,Primary long-term field study,"Russ et al. (2004), Marine reserve benefits local fisheries",https://doi.org/10.1890/03-5076,Primary long-term field study,High,Supporting,Community protection began in 1982; the formal legal framework followed in 1985–1986.,"People, records & policy",People & policy,Law & governance,,,,,,,,,,Apo Island villagers created a no fishing zone on their reef,"Local fishers and Silliman University set up a small reserve where no fishing was allowed, and they kept the rules enforced. It became a model used around the world for helping reef fishing recover.","It brought together local care, long running science and fishing gains that could be measured.","[{""t"": ""About Marine Protected Areas | National Marine Protected Areas Center"", ""u"": ""https://marineprotectedareas.noaa.gov/aboutmpas/"", ""p"": ""NOAA National Marine Protected Areas Center"", ""s"": ""Marine protected areas and no-take zones""}, {""t"": ""Marine Protected Areas"", ""u"": ""https://education.nationalgeographic.org/resource/marine-protected-areas/"", ""p"": ""National Geographic Education"", ""s"": ""Marine protected areas and no-take zones""}]"
