event_id,display_date,years_bp,chapter,lane,x_cu,x_norm,years_per_cu_ahead,category,region,confidence,animation_priority,headline
PJ-004,2050,-23.5000,Projected: 2027–2100,1,4378.872,0.916849,0.000000,Recovery & resilience,Great Barrier Reef / Coral Sea,High,Core,"Great Barrier Reef coral declines sharply by mid-century, but can still recover below 2°C"
PJ-005,2050,-23.5000,Projected: 2027–2100,-1,4385.872,0.918315,0.206904,"People, records & policy",Central / Eastern Pacific,High,Core,Most atoll islands become uninhabitable around the middle of this century
PJ-006,2070,-43.5000,Projected: 2027–2100,1,4482.535,0.938554,0.251128,Bleaching & heat stress,Global / multiple regions,High,Core,"Three quarters of reefs bleach severely every year before 2070, even on the Paris pledges"
PJ-007,2080,-53.5000,Projected: 2027–2100,-1,4522.355,0.946892,0.000000,Bleaching & heat stress,Great Barrier Reef / Coral Sea,High,Core,Annual severe bleaching on the Great Barrier Reef by about 2080 under high emissions
PJ-008,2080,-53.5000,Projected: 2027–2100,1,4529.355,0.948357,0.373319,Bleaching & heat stress,Global / multiple regions,High,Core,Bleaching season shifts from late summer to spring by 2080
PJ-009,2100,-73.5000,Projected: 2027–2100,-1,4582.929,0.959575,0.000000,Crisis & decline,Global / multiple regions,High,Core,Global reef carbonate production falls below zero by 2100 on mid and high emissions
PJ-010,2100,-73.5000,Projected: 2027–2100,1,4589.929,0.961040,0.000000,"Experiment, method & monitoring",Caribbean / Florida,High,Core,Restoring one branching coral could let a reef keep pace with 0.5 m of sea-level rise
PJ-011,2100,-73.5000,Projected: 2027–2100,-1,4596.929,0.962506,0.000000,Science & discovery,Global / multiple regions,High,Core,"Reef carbonate production can recover this century, but only with strong mitigation"
PJ-012,2100,-73.5000,Projected: 2027–2100,1,4603.929,0.963972,0.243902,Crisis & decline,Global / multiple regions,High,Core,A bleaching rate above 7.9% a year tips reefs into lasting degradation
PJ-013,1.5°C and 2°C above pre-industrial,-83.5000,"Scenario, no date given",-1,4644.929,0.972556,0.285714,"People, records & policy",Global / multiple regions,High,Core,"IPCC: reefs decline a further 70–90% at 1.5°C, and more than 99% at 2°C"
PJ-014,"RCP3-PD, RCP4.5; warming below 1.5°C",-85.5000,"Scenario, no date given",1,4651.929,0.974022,0.285714,Bleaching & heat stress,Global / multiple regions,High,Core,Keeping more than a tenth of reefs needs warming held below 1.5°C
PJ-015,1.5°C and 2.0°C of global warming,-87.5000,"Scenario, no date given",-1,4658.929,0.975488,0.118159,Recovery & resilience,Global / multiple regions,High,Core,"Local thermal refuges all but vanish at 1.5°C, and completely at 2°C"
PJ-016,~3°C of global warming,-89.5000,"Scenario, no date given",1,4675.855,0.979032,0.099521,Recovery & resilience,Great Barrier Reef / Coral Sea,High,Core,Great Barrier Reef refuges hold their advantage only until about 3°C
PJ-017,RCP2.6 and RCP4.5 (persistence) vs RCP6.0 and RCP8.5 (extinction),-91.5000,"Scenario, no date given",-1,4695.951,0.983239,0.099695,Recovery & resilience,Central / Eastern Pacific,High,Core,"Corals can evolve fast enough to survive, but only on low-emissions pathways"
PJ-018,gradual warming; 20–50 coral generations (100–250 years),-93.5000,"Scenario, no date given",1,4716.013,0.987440,0.099862,Origins & evolution,Great Barrier Reef / Coral Sea,High,Core,Enough genetic variation exists for region-wide adaptation over 100–250 years
PJ-019,all climate scenarios modelled; 50-year horizon,-95.5000,"Scenario, no date given",-1,4736.040,0.991633,0.100023,"Experiment, method & monitoring",Great Barrier Reef / Coral Sea,High,Core,Large-scale intervention buys the Great Barrier Reef one to two decades
PJ-020,high emissions scenarios (not individually named),-97.5000,"Scenario, no date given",1,4756.036,0.995820,0.100179,Science & discovery,Global / multiple regions,High,Core,"Swapping algal partners delays decline, until the warming rate outruns it"
PJ-021,climate change scenarios (not individually named),-99.5000,"Scenario, no date given",-1,4776.000,1.000000,,"Experiment, method & monitoring",Global / multiple regions,High,Core,Transplanting heat-tolerant corals helps only if sustained for a century
